date,day,min_temp,max_temp,rainfall_mm,evap_mm,sun_hours,max_wind_gust_dir,max_wind_gust_km_h,max_wind_gust_time,temp_9am,RH_9am,cloud_8th_9am,wind_dir_9am,wind_spd_km_h_9am,MSLP_hPa_9am,temp_3pm,RH_3pm,cloud_8th_3pm,wind_dir_3pm,wind_spd_km_h_3pm,MSLP_hPa_3pm,month,station
1,Su,20.2,25.0,0,,,SE,48,11:18,22.9,78,8,SE,20,1023.5,23.3,79,8,SE,24,1020.3,201807,4096
2,Mo,19.8,23.9,2.8,,,ESE,33,12:26,21.1,93,8,E,4,1022.7,22.5,80,8,ESE,24,1019.2,201807,4096
3,Tu,16.2,25.9,0,,,SE,39,08:19,21.8,76,8,SE,20,1021.7,24.8,61,1,ESE,22,1018.6,201807,4096
4,We,13.0,25.6,0,,,SE,44,11:44,20.6,74,,SSE,17,1021.2,22.9,54,,ESE,26,1017.9,201807,4096
5,Th,9.7,25.9,0,,,SE,37,10:00,20.2,79,,E,7,1019.7,23.0,64,1,E,24,1017.0,201807,4096
6,Fr,15.5,26.3,0,,,ESE,28,11:44,22.3,75,,SSE,11,1018.0,24.5,66,8,E,17,1014.6,201807,4096
7,Sa,19.2,25.2,0,,,S,17,10:35,21.0,94,8,SSW,9,1016.9,24.7,78,8,NW,6,1013.7,201807,4096
8,Su,16.4,22.8,3.4,,,ESE,46,08:54,19.4,39,,ESE,33,1020.2,20.9,45,,ESE,24,1017.8,201807,4096
9,Mo,5.0,22.5,0.2,,,ESE,33,12:08,15.6,50,,S,9,1022.5,21.7,36,,E,20,1018.2,201807,4096
10,Tu,5.9,24.1,0,,,SE,39,11:59,15.1,74,8,N,6,1021.6,22.9,49,,ESE,24,1018.0,201807,4096
11,We,9.3,24.7,0,,,ESE,37,11:49,18.4,82,8,SE,11,1020.6,23.1,58,6,ESE,22,1017.6,201807,4096
12,Th,11.4,25.2,0.2,,,E,37,14:06,19.6,77,,S,11,1019.2,24.0,55,,E,20,1015.2,201807,4096
13,Fr,9.2,25.6,0,,,ESE,35,11:07,17.7,80,,S,6,1018.1,23.8,38,,E,24,1014.4,201807,4096
14,Sa,7.3,23.9,0,,,ESE,37,12:34,18.7,69,,SE,2,1018.4,22.2,48,,ESE,20,1015.1,201807,4096
15,Su,5.5,23.5,0,,,E,35,11:30,16.8,69,,S,6,1018.3,22.1,36,,ENE,17,1014.6,201807,4096
16,Mo,5.1,29.5,0,,,NNW,28,14:50,16.5,70,,NNW,6,1017.6,28.3,31,,NW,19,1012.7,201807,4096
17,Tu,10.2,24.6,0,,,ESE,31,14:45,16.2,97,7,SSE,6,1019.1,23.0,64,1,ESE,19,1016.6,201807,4096
18,We,13.7,25.5,0,,,E,39,13:59,20.8,76,,SSE,15,1020.6,23.4,44,,ESE,24,1017.7,201807,4096
19,Th,10.6,26.1,0,,,ESE,35,13:35,20.2,77,,S,7,1020.5,24.0,58,1,E,22,1017.0,201807,4096
20,Fr,11.4,29.5,0,,,NW,35,12:55,19.7,82,3,W,2,1019.0,27.5,39,2,N,20,1014.8,201807,4096
21,Sa,12.0,26.2,0,,,NNW,48,01:34,21.5,65,,ESE,13,1019.3,24.2,55,,E,28,1016.9,201807,4096
22,Su,13.1,24.7,0,,,E,35,15:08,20.1,68,8,SSE,7,1020.9,23.0,64,,ESE,24,1017.0,201807,4096
23,Mo,13.6,25.3,0,,,ESE,33,11:52,20.4,79,2,SSE,7,1020.3,23.7,49,,E,19,1015.9,201807,4096
24,Tu,10.2,25.7,0,,,SE,31,14:04,19.1,78,6,S,6,1020.1,24.4,31,,E,20,1015.5,201807,4096
25,We,8.3,26.6,0,,,SE,37,12:51,18.9,74,,NE,4,1019.9,23.9,58,3,E,11,1015.2,201807,4096
26,Th,10.9,27.7,0,,,SE,30,12:20,18.9,84,1,Calm,Calm,1019.2,26.7,38,,ESE,17,1015.0,201807,4096
27,Fr,13.0,26.7,0,,,E,31,13:53,20.7,75,,S,7,1019.3,24.3,52,,ESE,22,1014.5,201807,4096
28,Sa,11.8,27.5,0,,,ESE,31,14:17,20.5,79,7,SSE,2,1018.0,25.4,56,,ESE,22,1013.1,201807,4096
29,Su,11.3,29.4,0,,,ENE,26,15:25,19.7,83,,S,6,1017.6,28.5,35,,E,15,1013.2,201807,4096
30,Mo,12.9,28.5,0,,,E,33,12:41,23.1,55,,S,7,1018.8,26.3,35,,ESE,19,1016.2,201807,4096
31,Tu,8.3,25.8,0,,,E,35,13:45,18.0,66,6,SSW,2,1021.0,24.9,25,,ESE,20,1017.5,201807,4096
1,We,7.8,25.2,0,,,NE,31,13:14,18.9,69,,S,7,1020.7,23.8,43,,ENE,17,1016.1,201808,4096
2,Th,7.3,25.8,0,,,E,39,15:07,19.5,66,,SSE,7,1019.7,23.5,56,,E,24,1016.8,201808,4096
3,Fr,9.9,26.8,0,,,E,35,12:15,20.6,78,2,SSE,6,1019.9,25.3,57,,E,19,1015.6,201808,4096
4,Sa,12.5,27.4,0,,,E,28,14:04,20.6,83,1,S,6,1019.0,26.2,51,,ESE,17,1015.5,201808,4096
5,Su,11.8,26.9,0,,,ENE,30,13:35,22.1,74,,SSE,11,1018.7,25.7,57,,ESE,19,1015.4,201808,4096
6,Mo,12.8,29.1,0,,,NNE,31,12:26,21.8,78,2,SSW,6,1017.0,28.2,49,1,NNW,20,1011.8,201808,4096
7,Tu,18.7,24.6,0,,,SW,28,09:45,23.0,75,8,NW,6,1015.3,23.6,25,8,SW,13,1013.9,201808,4096
8,We,5.9,24.4,0,,,E,44,13:28,20.0,29,,SSE,13,1020.0,22.9,27,,ESE,24,1016.4,201808,4096
9,Th,5.2,25.3,0,,,ESE,44,14:26,19.9,55,,SSE,9,1021.5,23.6,30,,ESE,26,1017.8,201808,4096
10,Fr,5.8,25.7,0,,,SE,52,11:31,21.0,55,,SSE,11,1021.2,24.5,45,,SE,24,1017.8,201808,4096
11,Sa,13.5,27.5,0,,,ENE,30,14:21,21.1,65,,SE,6,1019.3,26.1,41,,E,20,1014.7,201808,4096
12,Su,9.3,30.1,0,,,ENE,24,14:54,21.5,71,,N,6,1018.3,29.1,32,4,ENE,17,1014.2,201808,4096
13,Mo,15.1,24.0,0,,,E,41,10:02,19.5,27,,ESE,26,1021.7,21.8,38,,ESE,24,1019.2,201808,4096
14,Tu,3.2,25.0,0,,,ESE,50,11:43,17.1,33,8,SW,6,1023.7,22.3,51,,ESE,30,1020.4,201808,4096
15,We,9.7,25.8,0,,,ESE,35,10:39,21.3,61,,SSE,13,1021.7,23.9,47,,ESE,19,1018.4,201808,4096
16,Th,8.5,28.2,0,,,E,35,13:46,21.1,72,,SW,9,1018.8,26.3,38,,E,22,1013.3,201808,4096
17,Fr,10.3,29.9,0,,,E,35,13:18,18.9,81,,N,2,1016.8,28.2,28,,ESE,19,1012.1,201808,4096
18,Sa,8.7,30.9,0,,,E,31,14:26,21.0,75,,SSW,6,1018.5,29.5,22,,E,22,1013.3,201808,4096
19,Su,8.1,29.4,0,,,E,37,11:40,21.7,65,,NNW,7,1018.0,27.3,21,,ESE,24,1014.6,201808,4096
20,Mo,5.9,23.2,0,,,SE,54,08:02,18.8,17,,SE,30,1022.6,21.8,20,,E,19,1018.3,201808,4096
21,Tu,0.9,23.2,0,,,SE,39,09:37,18.8,21,,SSE,22,1021.3,22.1,21,,ESE,13,1017.0,201808,4096
22,We,2.8,26.7,0,,,NE,33,15:36,18.3,54,,WSW,2,1019.8,25.5,33,,NNE,11,1014.2,201808,4096
